route,date,day_type,rides
95W,2001-01-04,W,5159
X21,2001-01-01,U,723
1,2001-01-02,W,5813
1,2001-01-03,W,6809
1,2001-01-04,W,6907
1,2001-01-05,W,6154
2,2001-01-02,W,629
2,2001-01-03,W,652
2,2001-01-04,W,837
2,2001-01-05,W,631
7,2001-01-02,W,4268
7,2001-01-03,W,4507
7,2001-01-04,W,6483
7,2001-01-05,W,4535
14,2001-01-02,W,6497
14,2001-01-03,W,7886
14,2001-01-04,W,8946
14,2001-01-05,W,7799
17,2001-01-02,W,376
17,2001-01-03,W,402
17,2001-01-04,W,381
17,2001-01-05,W,467
19,2001-01-02,W,456
19,2001-01-03,W,177
19,2001-01-04,W,305
19,2001-01-05,W,255
24,2001-01-02,W,2989
24,2001-01-03,W,2311
24,2001-01-04,W,2691
24,2001-01-05,W,3312
25,2001-01-02,W,70
25,2001-01-03,W,77
25,2001-01-04,W,89
25,2001-01-05,W,232
33,2001-01-02,W,742
33,2001-01-03,W,541
33,2001-01-04,W,1105
33,2001-01-05,W,880
37,2001-01-02,W,1961
37,2001-01-03,W,2445
37,2001-01-04,W,2007
37,2001-01-05,W,2063
39,2001-01-02,W,1708
39,2001-01-03,W,1925
39,2001-01-04,W,2085
39,2001-01-05,W,2059
48,2001-01-02,W,641
48,2001-01-03,W,786
48,2001-01-04,W,753
59,2001-01-02,W,3557
59,2001-01-03,W,3513
59,2001-01-04,W,3567
64,2001-01-02,W,274
64,2001-01-03,W,353
64,2001-01-04,W,530
69,2001-01-02,W,426
69,2001-01-03,W,410
69,2001-01-04,W,209
86,2001-01-02,W,1353
86,2001-01-03,W,1138
86,2001-01-04,W,1204
93,2001-01-02,W,1387
93,2001-01-03,W,1803
93,2001-01-04,W,1924
96,2001-01-02,W,1233
96,2001-01-03,W,1208
96,2001-01-04,W,945
100,2001-01-02,W,601
100,2001-01-03,W,666
100,2001-01-04,W,744
108,2001-01-02,W,2035
108,2001-01-03,W,2179
108,2001-01-04,W,2263
120,2001-01-02,W,691
120,2001-01-03,W,461
120,2001-01-04,W,582
121,2001-01-02,W,936
121,2001-01-03,W,1365
121,2001-01-04,W,1095
122,2001-01-02,W,759
122,2001-01-03,W,1039
122,2001-01-04,W,959
123,2001-01-02,W,876
123,2001-01-03,W,1256
123,2001-01-04,W,665
125,2001-01-02,W,2935
125,2001-01-03,W,2933
125,2001-01-04,W,3083
127,2001-01-02,W,329
127,2001-01-03,W,164
127,2001-01-04,W,161
129,2001-01-02,W,848
129,2001-01-03,W,742
129,2001-01-04,W,381
135,2001-01-02,W,2804
135,2001-01-03,W,2052
135,2001-01-04,W,2417
136,2001-01-02,W,1462
136,2001-01-03,W,2011
136,2001-01-04,W,2245
147,2001-01-02,W,8150
147,2001-01-03,W,7954
147,2001-01-04,W,8479
156,2001-01-02,W,8273
156,2001-01-03,W,9283
156,2001-01-04,W,9138
157,2001-01-02,W,3035
157,2001-01-03,W,2993
157,2001-01-04,W,3013
169,2001-01-02,W,405
169,2001-01-03,W,521
169,2001-01-04,W,515
170,2001-01-02,W,221
170,2001-01-03,W,355
170,2001-01-04,W,322
202,2001-01-02,W,321
202,2001-01-03,W,322
202,2001-01-04,W,403
203,2001-01-02,W,1047
203,2001-01-03,W,1346
203,2001-01-04,W,1289
204,2001-01-02,W,857
204,2001-01-03,W,985
204,2001-01-04,W,1130
290S,2001-01-02,W,5
49A,2001-01-02,W,307
49A,2001-01-03,W,338
49A,2001-01-04,W,279
54A,2001-01-02,W,1049
54A,2001-01-03,W,1181
54A,2001-01-04,W,1173
55N,2001-01-02,W,857
55N,2001-01-03,W,670
55N,2001-01-04,W,775
56A,2001-01-02,W,656
56A,2001-01-03,W,403
56A,2001-01-04,W,302
62H,2001-01-02,W,1137
62H,2001-01-03,W,1151
62H,2001-01-04,W,1143
85A,2001-01-02,W,753
85A,2001-01-03,W,940
85A,2001-01-04,W,828
90N,2001-01-02,W,223
90N,2001-01-03,W,273
90N,2001-01-04,W,283
X49,2001-01-02,W,3735
X49,2001-01-03,W,4485
X49,2001-01-04,W,4684
